Date,800,1400,1800
1,30.22,30.14,30.08
2,29.94,29.92,29.88
3,29.79,29.76,29.76
4,29.78,29.79,29.78
5,29.76,29.76,29.75
6,29.68,29.68,29.71
7,29.82,29.9,29.93
8,30.1,30.1,30.11
9,30.05,29.97,29.87
10,29.67,29.76,29.84
11,29.89,29.81,29.71
12,29.61,29.72,29.74
13,29.72,29.61,29.51
14,29.53,29.66,29.69
15,29.64,29.56,29.49
16,29.49,29.62,29.71
17,29.96,30.04,30.05
18,30.09,30.04,29.98
19,29.84,29.88,29.88
20,29.82,29.83,29.89
21,29.95,29.94,29.9
22,29.7,29.62,29.63
23,29.49,29.5,29.52
24,29.54,29.57,29.59
25,29.57,29.53,29.51
26,29.49,29.55,29.59
27,29.62,29.63,29.62
28,29.76,29.82,29.71
29,29.5,29.42,29.28
30,29.5,29.61,29.68
31,29.82,29.92,30
