Date,800,1400,1800
1,29.22,29.17,29.22
2,29.83,30.14,30.29
3,30.54,30.54,30.5
4,30.5,30.51,30.5
5,30.45,30.4,30.36
6,30.18,30.17,30.12
7,30.05,30.04,30.02
8,29.89,29.79,29.69
9,29.35,29.27,29.29
10,29.45,29.53,29.58
11,29.63,29.7,29.73
12,29.62,29.58,29.57
13,29.59,29.67,29.64
14,30.03,30.08,30.04
15,29.79,29.77,29.76
16,29.76,29.71,29.69
17,29.71,29.66,29.65
18,29.52,29.53,29.51
19,29.52,29.54,29.54
20,29.59,29.55,29.48
21,29.6,29.58,29.53
22,29.59,29.55,29.53
23,29.57,29.58,29.56
24,29.75,29.85,29.93
25,30.05,30.05,30.02
26,29.91,29.9,29.87
27,29.78,29.73,29.73
28,29.69,29.69,29.69
29,29.79,29.81,29.84
