Date,800,1400,1800
1,30.43,30.4,30.34
2,30.19,30.1,30.06
3,29.94,29.87,29.83
4,29.72,29.72,29.73
5,29.83,29.87,29.89
6,29.96,29.96,29.94
7,29.78,29.78,29.77
8,30.01,30.06,30.06
9,29.84,29.75,29.74
10,29.89,29.95,29.97
11,29.92,29.95,29.92
12,30.09,30.13,30.11
13,30.04,30.04,30.06
14,30.1,30.03,30.01
15,30.19,30.3,30.32
16,30.25,30.25,30.25
17,30.15,30.09,30.07
18,29.7,29.74,29.74
19,29.8,29.86,29.94
20,30.2,30.24,30.26
21,30.2,30.13,30.05
22,29.74,29.96,30.12
23,30.27,30.17,30.07
24,30.16,30.25,30.29
25,30.48,30.52,30.57
26,30.61,30.58,30.58
27,30.72,30.76,30.76
28,30.67,30.48,30.3
29,29.82,29.8,29.76
30,29.64,29.63,29.63
31,29.85,29.92,29.97
