,800,1400,1800
1900/08/01,29.89,29.88,29.89
1900/08/02,29.91,29.93,29.81
1900/08/03,29.5,29.68,29.74
1900/08/04,29.94,30,29.98
1900/08/05,29.7,29.73,29.74
1900/08/06,29.46,29.37,29.54
1900/08/07,29.64,29.71,29.74
1900/08/08,29.95,30.02,30.04
1900/08/09,29.69,29.75,29.88
1900/08/10,30.1,30.22,30.28
1900/08/11,30.36,30.4,30.4
1900/08/12,30.34,30.35,30.37
1900/08/13,30.35,30.35,30.35
1900/08/14,30.32,30.3,30.3
1900/08/15,30.22,30.19,30.16
1900/08/16,30.07,30.07,30.07
1900/08/17,30.01,30.02,30.06
1900/08/18,30.03,30.06,30.06
1900/08/19,29.95,29.91,29.89
1900/08/20,29.83,29.83,29.83
1900/08/21,29.64,29.67,29.64
1900/08/22,29.46,29.54,29.58
1900/08/23,29.44,29.49,29.56
1900/08/24,29.67,29.72,29.77
1900/08/25,29.83,29.97,29.95
1900/08/26,29.98,30.05,30.01
1900/08/27,29.97,30.01,30.06
1900/08/28,30.18,30.24,30.27
1900/08/29,30.31,30.34,30.34
1900/08/30,30.35,30.37,30.37
1900/08/31,30.3,30.26,30.24
