,800,1400,1800
1900/02/01,29.63,29.58,29.57
1900/02/02,29.6,29.66,29.67
1900/02/03,29.78,29.77,29.74
1900/02/04,29.67,29.61,29.59
1900/02/05,29.56,29.59,29.58
1900/02/06,29.71,29.8,29.84
1900/02/07,29.92,29.88,29.85
1900/02/08,29.89,29.92,29.91
1900/02/09,29.91,29.93,29.91
1900/02/10,29.52,29.41,29.31
1900/02/11,29.63,29.58,29.53
1900/02/12,29.16,29.26,29.86
1900/02/13,29.4,29.13,28.94
1900/02/14,29.83,29.96,29.96
1900/02/15,29.39,29.12,29.02
1900/02/16,29.34,29.53,29.48
1900/02/17,29.2,29.07,29.19
1900/02/18,29.35,29.27,29.22
1900/02/19,28.65,28.58,28.57
1900/02/20,28.83,28.94,29.11
1900/02/21,29.61,29.56,29.46
1900/02/22,29.39,29.57,29.5
1900/02/23,29.48,29.58,29.48
1900/02/24,29.56,29.62,29.64
1900/02/25,29.7,29.69,29.6
1900/02/26,29.33,29.39,29.4
1900/02/27,29.55,29.67,29.7
1900/02/28,29.8,29.88,29.93
