,800,1400,1800
1900/10/01,29.92,29.95,29.93
1900/10/02,29.82,29.81,29.81
1900/10/03,29.95,30.02,29.98
1900/10/04,29.46,29.56,29.63
1900/10/05,29.76,29.79,29.83
1900/10/06,29.96,30.02,30.04
1900/10/07,30.12,30.16,30.13
1900/10/08,30.1,30.15,30.16
1900/10/09,30.14,30.13,30.08
1900/10/10,30.24,30.28,30.28
1900/10/11,30.18,30.11,30.08
1900/10/12,30.07,30.11,30.09
1900/10/13,29.97,29.91,29.88
1900/10/14,29.93,29.99,30.22
1900/10/15,29.95,29.95,29.91
1900/10/16,29.78,29.74,29.7
1900/10/17,29.77,29.84,29.88
1900/10/18,29.94,30.04,30.06
1900/10/19,30.12,30.14,30.17
1900/10/20,30.23,30.26,30.25
1900/10/21,30.32,30.39,30.43
1900/10/22,30.61,30.64,30.6
1900/10/23,30.5,30.44,30.41
1900/10/24,30.36,30.28,30.23
1900/10/25,29.92,29.83,29.78
1900/10/26,29.45,29.48,29.53
1900/10/27,29.71,29.75,29.81
1900/10/28,29.85,29.67,29.63
1900/10/29,29.78,29.81,29.8
1900/10/30,29.8,29.84,29.83
1900/10/31,29.73,29.7,29.68
