,800,1400,1800
1901/04/01,29.6,29.78,29.85
1901/04/02,29.72,29.64,29.5
1901/04/03,29.66,29.8,29.61
1901/04/04,29.95,30.15,30.2
1901/04/05,29.93,29.86,30.02
1901/04/06,29.71,29.7,29.68
1901/04/07,29.66,29.53,29.46
1901/04/08,29.51,29.5,29.43
1901/04/09,29.61,29.58,29.58
1901/04/10,29.44,29.56,29.53
1901/04/11,29.32,29.44,29.54
1901/04/12,29.91,30.06,30.14
1901/04/13,29.99,29.93,29.98
1901/04/14,29.62,29.75,29.75
1901/04/15,29.63,29.65,29.72
1901/04/16,29.73,29.88,29.96
1901/04/17,30.2,30.29,30.31
1901/04/18,30.25,30.22,30.21
1901/04/19,30.05,30,29.95
1901/04/20,29.8,29.78,29.77
1901/04/21,29.7,29.73,29.75
1901/04/22,29.72,29.75,29.76
1901/04/23,29.83,29.9,29.95
1901/04/24,29.96,29.91,29.88
1901/04/25,29.81,29.79,29.78
1901/04/26,29.83,29.84,29.9
1901/04/27,29.94,29.98,30
1901/04/28,29.95,29.96,29.96
1901/04/29,29.97,29.89,29.9
1901/04/30,29.85,29.79,29.69
