,800,1400,1800
1901/12/01,30.44,30.45,30.45
1901/12/02,30.41,30.39,30.37
1901/12/03,30.33,30.34,30.33
1901/12/04,30.36,30.34,30.33
1901/12/05,30.09,29.99,29.93
1901/12/06,30.26,30.28,30.26
1901/12/07,30.14,30.14,30.13
1901/12/08,29.78,29.8,29.8
1901/12/09,29.8,29.85,29.87
1901/12/10,30.01,29.95,29.87
1901/12/11,29.87,29.89,29.87
1901/12/12,29.01,28.86,28.99
1901/12/13,29.11,29.22,29.26
1901/12/14,29.43,29.66,29.72
1901/12/15,29.96,29.91,29.87
1901/12/16,29.24,29.27,29.35
1901/12/17,29.76,29.75,29.69
1901/12/18,29.51,29.5,29.44
1901/12/19,29.46,29.5,29.52
1901/12/20,29.64,29.66,29.68
1901/12/21,29.57,29.42,29.31
1901/12/22,29.12,29.28,29.32
1901/12/23,29.62,29.39,29.26
1901/12/24,29.11,28.85,28.81
1901/12/25,29,29.25,29.25
1901/12/26,29.36,29.43,29.45
1901/12/27,29.56,29.61,29.58
1901/12/28,29.25,29.11,29.08
1901/12/29,29.2,29.38,29.46
1901/12/30,29.5,29.61,29.64
1901/12/31,29.85,29.83,29.77
