,800,1400,1800
1901/01/01,29.97,30.1,30.13
1901/01/02,30.22,30.29,30.3
1901/01/03,30.31,30.34,30.32
1901/01/04,30.3,30.28,30.25
1901/01/05,30.23,30.2,30.16
1901/01/06,30.01,30.04,30.02
1901/01/07,30.02,29.98,29.91
1901/01/08,29.77,29.73,29.71
1901/01/09,29.47,29.02,29.18
1901/01/10,29.69,29.76,29.81
1901/01/11,29.92,30,30.03
1901/01/12,30.04,30.08,30.05
1901/01/13,30.1,30.19,30.17
1901/01/14,30.14,30.11,30.07
1901/01/15,29.93,29.79,29.7
1901/01/16,29.52,29.62,29.67
1901/01/17,29.91,30.03,30.05
1901/01/18,30.04,30,29.93
1901/01/19,29.16,29.49,29.69
1901/01/20,30.12,30.22,30.22
1901/01/21,30.3,30.35,30.35
1901/01/22,30.29,30.32,30.33
1901/01/23,30.48,30.44,30.39
1901/01/24,30.18,30.11,30.08
1901/01/25,30.25,30.21,30.15
1901/01/26,30.2,30.18,30.17
1901/01/27,29.89,29.77,29.74
1901/01/28,29.78,29.72,29.68
1901/01/29,29.65,29.79,29.79
1901/01/30,29.63,29.51,29.5
1901/01/31,29.51,29.6,29.68
