,800,1400,1800
1901/07/01,29.82,29.76,29.67
1901/07/02,29.57,29.62,29.65
1901/07/03,29.73,29.81,29.87
1901/07/04,30.06,30.13,30.14
1901/07/05,30.21,30.22,30.22
1901/07/06,30.18,30.22,30.23
1901/07/07,30.2,30.22,30.19
1901/07/08,30.17,30.14,30.09
1901/07/09,30.06,30.05,30.05
1901/07/10,30.11,30.12,30.11
1901/07/11,30.12,30.14,30.14
1901/07/12,30.19,30.2,30.2
1901/07/13,30.16,30.15,30.12
1901/07/14,30.04,30.04,30.04
1901/07/15,30.09,30.15,30.16
1901/07/16,30.18,30.22,30.22
1901/07/17,30.27,30.3,30.28
1901/07/18,30.17,30.16,30.13
1901/07/19,30.11,30.11,30.06
1901/07/20,29.99,29.97,29.93
1901/07/21,29.88,29.92,29.94
1901/07/22,30.04,30.09,30.09
1901/07/23,29.96,29.84,29.79
1901/07/24,29.61,29.6,29.6
1901/07/25,29.75,29.82,29.85
1901/07/26,29.82,29.82,29.79
1901/07/27,29.79,29.79,29.79
1901/07/28,29.82,29.89,29.89
1901/07/29,30.04,30.13,30.17
1901/07/30,30.25,30.29,30.29
1901/07/31,30.3,30.3,30.26
