,800,1400,1800
1901/06/01,29.73,29.71,29.67
1901/06/02,29.71,29.91,29.94
1901/06/03,30.04,30.08,30.11
1901/06/04,30.08,30.09,30.08
1901/06/05,30.09,30.11,30.12
1901/06/06,30.19,30.26,30.25
1901/06/07,30.26,30.24,30.2
1901/06/08,30.09,30.06,30.03
1901/06/09,29.96,29.95,29.94
1901/06/10,30.07,30.14,30.14
1901/06/11,30.14,30.18,30.18
1901/06/12,30.04,29.95,29.87
1901/06/13,29.86,29.86,29.8
1901/06/14,29.75,29.84,29.91
1901/06/15,30.03,30.12,30.15
1901/06/16,30.15,30.18,30.19
1901/06/17,30.22,30.22,30.22
1901/06/18,30.18,30.21,30.21
1901/06/19,30.19,30.14,30.1
1901/06/20,30.06,30.06,30.01
1901/06/21,30.02,30.05,30.02
1901/06/22,29.88,29.67,29.56
1901/06/23,29.81,30.04,30.07
1901/06/24,30.24,30.32,30.35
1901/06/25,30.44,30.49,30.47
1901/06/26,30.41,30.38,30.34
1901/06/27,30.22,30.19,30.15
1901/06/28,30.02,30.04,30.01
1901/06/29,29.97,30,30
1901/06/30,29.92,29.91,29.88
