,800,1400,1800
1901/03/01,29.07,29.14,29.21
1901/03/02,28.98,29.05,29.06
1901/03/03,29.42,29.65,29.74
1901/03/04,29.76,29.93,29.94
1901/03/05,29.64,29.83,29.97
1901/03/06,29.65,29.66,29.67
1901/03/07,29.52,29.62,29.47
1901/03/08,29.81,29.99,30.06
1901/03/09,30.28,30.31,30.29
1901/03/10,30.23,30.19,30.13
1901/03/11,29.95,29.96,29.97
1901/03/12,30.02,30.06,30.06
1901/03/13,29.99,29.91,29.88
1901/03/14,29.81,29.81,29.81
1901/03/15,29.71,29.7,29.7
1901/03/16,29.71,29.73,29.71
1901/03/17,29.58,29.53,29.49
1901/03/18,29.41,29.45,29.46
1901/03/19,29.58,29.62,29.62
1901/03/20,29.55,29.58,29.57
1901/03/21,29.59,29.71,29.79
1901/03/22,30.19,30.34,30.39
1901/03/23,30.44,30.44,30.43
1901/03/24,30.3,30.22,30.17
1901/03/25,29.96,29.91,29.94
1901/03/26,30.09,30.11,30.11
1901/03/27,29.91,29.87,29.88
1901/03/28,29.91,29.91,29.92
1901/03/29,29.84,29.69,29.54
1901/03/30,29.16,29.16,29.19
1901/03/31,29.15,29.25,29.27
