,800,1400,1800
1901/05/01,29.83,29.94,29.99
1901/05/02,30.19,30.18,30.19
1901/05/03,30.33,30.24,30.25
1901/05/04,30.32,30.25,30.19
1901/05/05,30.12,29.9,29.84
1901/05/06,29.78,29.57,29.55
1901/05/07,29.44,29.39,29.33
1901/05/08,29.5,29.62,29.71
1901/05/09,29.9,30,30.05
1901/05/10,30.1,30.12,30.12
1901/05/11,30.2,30.28,30.32
1901/05/12,30.35,30.38,30.36
1901/05/13,30.3,30.28,30.25
1901/05/14,30.26,30.28,30.26
1901/05/15,30.27,30.25,30.21
1901/05/16,30.19,30.18,30.14
1901/05/17,30.14,30.2,30.2
1901/05/18,30.24,30.27,30.25
1901/05/19,30.22,30.21,30.21
1901/05/20,30.21,30.25,30.24
1901/05/21,30.26,30.26,30.24
1901/05/22,30.21,30.22,30.22
1901/05/23,30.22,30.26,30.24
1901/05/24,30.22,30.18,30.14
1901/05/25,30.07,30.04,30.02
1901/05/26,29.97,29.94,29.89
1901/05/27,29.9,29.9,29.91
1901/05/28,29.88,29.88,29.86
1901/05/29,29.79,29.73,29.67
1901/05/30,29.6,29.43,29.43
1901/05/31,29.61,29.67,29.71
