,800,1400,1800
1901/11/01,30.09,30.11,30.11
1901/11/02,30.19,30.24,30.24
1901/11/03,30.24,30.22,30.19
1901/11/04,30.19,30.24,30.24
1901/11/05,30.31,30.34,30.34
1901/11/06,30.29,30.27,30.28
1901/11/07,30.29,30.28,30.26
1901/11/08,30.24,30.27,30.25
1901/11/09,30.22,30.23,30.22
1901/11/10,30.16,30.15,30.11
1901/11/11,29.95,29.85,29.79
1901/11/12,29.13,29.1,29.17
1901/11/13,29.31,29.29,29.29
1901/11/14,29.45,29.55,29.55
1901/11/15,29.64,29.77,29.75
1901/11/16,29.87,30.1,30.16
1901/11/17,30.37,30.45,30.45
1901/11/18,30.48,30.48,30.45
1901/11/19,30.35,30.33,30.29
1901/11/20,30.19,30.16,30.14
1901/11/21,29.96,29.91,29.91
1901/11/22,29.95,29.99,30.04
1901/11/23,30.28,30.38,30.4
1901/11/24,30.5,30.5,30.51
1901/11/25,30.55,30.55,30.51
1901/11/26,30.49,30.48,30.49
1901/11/27,30.41,30.44,30.45
1901/11/28,30.45,30.51,30.51
1901/11/29,30.59,30.43,30.63
1901/11/30,30.57,30.56,30.53
