,800,1400,1800
1901/09/01,30,30,30
1901/09/02,29.92,29.95,29.95
1901/09/03,29.9,29.92,29.93
1901/09/04,29.92,29.92,29.88
1901/09/05,29.73,29.73,29.73
1901/09/06,29.77,29.79,29.79
1901/09/07,29.79,29.79,29.67
1901/09/08,29.62,29.72,29.74
1901/09/09,29.82,29.86,29.85
1901/09/10,29.97,30.06,30.09
1901/09/11,30.17,30.17,30.13
1901/09/12,30.07,30.06,30.06
1901/09/13,30.05,30.01,29.98
1901/09/14,29.83,29.8,29.82
1901/09/15,29.9,29.88,29.88
1901/09/16,29.58,29.56,29.57
1901/09/17,29.31,29.51,29.72
1901/09/18,30.07,30.09,30.05
1901/09/19,29.82,29.68,29.6
1901/09/20,29.27,29.34,29.37
1901/09/21,29.33,29.34,29.31
1901/09/22,29.17,29.25,29.23
1901/09/23,29.34,29.46,29.52
1901/09/24,29.73,29.82,29.82
1901/09/25,29.8,29.79,29.79
1901/09/26,30.1,30.17,30.2
1901/09/27,30.22,30.22,30.2
1901/09/28,30.2,30.24,30.21
1901/09/29,30.17,30.14,30.13
1901/09/30,30.09,30.08,30.03
