"DAILY WEATHER REPORTS  (1861-1881)",,,,,,,,,,,,,"1 August 1861 - The first ""forecast"" for the general public  Reputedly Robert Fitzroy coined the word ""forecast"".",,,,,,,,,,,,
,,,,,,,,,,,,,"The first storm warning had been issued in February 1861.",,,,,,,,,,,,
1861,January,February,March,April,May,June,July,August,September,October,November,December,1861,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,29.59,29.73,29.25,29.94,30.16,29.75,30.03,29.82,,29.51,29.3,,1,10031.179269,10078.588799000001,9916.041839000001,10149.703094,10224.203784000001,10085.361589,10180.180649000002,10109.066354000002,,10004.088109000002,9932.973814,
2,30.23,30.37,29.54,29.92,30.35,,29.73,29.73,29.71,29.64,29.35,30.28,2,10247.908549000002,10295.318079,10014.247294,10142.930304000001,10288.545289000002,,10078.588799000001,10078.588799000001,10071.816009000002,10048.111244000002,9949.905789000002,10264.840524000001
3,30.33,,,29.86,29.99,30.1,,29.32,29.49,30.12,,29.99,3,10281.772499,,,10122.611934,10166.635069,10203.885414,,9939.746604,9997.315319000001,10210.658204000001,,10166.635069
4,30.21,29.24,29.67,29.85,30.3,30.09,,,29.53,30.22,29.61,30,4,10241.135759,9912.655444,10058.270429000002,10119.225539000001,10271.613314000002,10200.499019,,,10010.860899000001,10244.522154000002,10037.952059000001,10170.021464000001
5,30.15,29.35,29.76,29.9,,30.04,,29.53,29.83,29.91,29.35,29.55,5,10220.817389,9949.905789000002,10088.747984000001,10136.157514,,10183.567044,,10010.860899000001,10112.452749,10139.543909000002,9949.905789000002,10017.633689000002
6,,29.04,28.99,30.16,30.13,30.18,29.37,29.65,29.53,,29.38,29.56,6,,9844.927544,9827.995568999999,10224.203784000001,10214.044599,10230.976574,9956.678579000001,10051.497639000001,10010.860899000001,,9960.064974,10021.020084
7,30.19,28.92,29.71,,30.08,30.13,,29.72,29.63,29.96,29.19,28.99,7,10234.362969000002,9804.290804,10071.816009000002,,10197.112624,10214.044599,,10075.202404,10044.724849,10156.475884000001,9895.723469,9827.995568999999
8,,29.69,29.5,30.48,29.92,30.04,29.73,29.27,,29.65,29.41,,8,,10065.043219000001,10000.701714,10332.568424000001,10142.930304000001,10183.567044,10078.588799000001,9922.814629,,10051.497639000001,9970.224159000001,
9,29.99,30.12,30.012,30.53,29.61,,29.77,29.6,29.75,29.68,29.51,29.44,9,10166.635069,10210.658204000001,10174.085138000002,10349.500399,10037.952059000001,,10092.134379000001,10034.565664000002,10085.361589,10061.656824,10004.088109000002,9980.383344000002
10,30.27,,,30.29,29.81,29.79,29.68,29.87,29.93,29.95,,29.65,10,10261.454129000002,,,10268.226919,10105.679959000001,10098.907169,10061.656824,10125.998329000002,10146.316699,10153.089489,,10051.497639000001
11,30.05,30.27,28.92,30.36,29.89,29.84,29.59,,29.93,29.33,29.11,29.65,11,10186.953439,10261.454129000002,9804.290804,10291.931684000001,10132.771119,10115.839144,10031.179269,,10146.316699,9943.132999000001,9868.632309,10051.497639000001
12,29.69,29.75,29.11,30.5,,29.73,29.58,29.45,29.98,29.39,29.46,29.36,12,10065.043219000001,10085.361589,9868.632309,10339.341214,,10078.588799000001,10027.792874,9983.769739000001,10163.248674000002,9963.451369,9987.156134,9953.292184
13,,29.62,29.81,30.39,30.16,30.09,29.78,29.71,29.78,,29.71,29.19,13,,10041.338454,10105.679959000001,10302.090869000001,10224.203784000001,10200.499019,10095.520774,10071.816009000002,10095.520774,,10071.816009000002,9895.723469
14,30.06,29.89,29.93,,30.31,30.25,,29.98,29.15,29.79,29.41,29.47,14,10190.339834,10132.771119,10146.316699,,10274.999709000002,10254.681339,,10163.248674000002,9882.177889,10098.907169,9970.224159000001,9990.542529
15,30.31,29.54,29.62,30.43,30.25,30.25,29.68,29.48,,30.18,29.51,,15,10274.999709000002,10014.247294,10041.338454,10315.636449000001,10254.681339,10254.681339,10061.656824,9993.928924,,10230.976574,10004.088109000002,
16,30.39,29.44,29.56,30.44,30.14,,29.53,29.62,29.9,30.29,29.75,30.11,16,10302.090869000001,9980.383344000002,10021.020084,10319.022844000001,10217.430994000002,,10010.860899000001,10041.338454,10136.157514,10268.226919,10085.361589,10207.271809
17,30.39,,,30.42,30.19,30.19,29.58,29.71,30.08,30.33,,29.98,17,10302.090869000001,,,10312.250054,10234.362969000002,10234.362969000002,10027.792874,10071.816009000002,10197.112624,10281.772499,,10163.248674000002
18,30.21,29.69,28.8,30.26,30.3,30.14,29.33,,30.1,30.22,30.22,30.06,18,10241.135759,10065.043219000001,9763.654064,10258.067734,10271.613314000002,10217.430994000002,9943.132999000001,,10203.885414,10244.522154000002,10244.522154000002,10190.339834
