"DWR French Records",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANGRA,,54M,,,,,,,,,,,,
,,,,,,,,,,,,,,
1871,January,February,March,April,May,June,July,August,September,October,November,December,,
,,,,,,,,,,,,,,
1,,,,,,,,,765.4,767.2,749.5,758.6,1,
2,,,,,,,,,768.3,763.8,750.6,759.6,2,
3,,,,,,,,,764.8,760.6,758.4,758.4,3,
4,,,,,,,,,763.9,758.9,7554.8,759.8,4,
5,,,,,,,,,765,761.8,748.7,759.8,5,
6,,,,,,,,,765.5,760.2,754.7,761.1,6,
7,,,,,,,,,766.6,755.2,750.1,764.5,7,
8,,,,,,,,,768.5,750.6,756.3,763.2,8,
9,,,,,,,,,765.5,749.6,762.3,758.2,9,
10,,,,,,,,,763,750.2,761.5,763,10,
11,,,,,,,,,764.9,753,760,766.7,11,
12,,,,,,,,,764.9,751.6,761.8,766.6,12,
13,,,,,,,,,762.4,758.5,760.6,765.9,13,
14,,,,,,,,,761.7,760.7,763.1,767.8,14,
15,,,,,,,,,761.4,759.5,762.7,770.6,15,
16,,,,,,,,,759.7,762,757.5,771.7,16,
17,,,,,,,,,760.9,760.2,758.3,767.6,17,
18,,,,,,,,,757.5,758.4,757.7,764.2,18,
19,,,,,,,,,750.9,766.8,756.8,768,19,
20,,,,,,,,,754.6,764.6,757.4,764.6,20,
21,,,,,,,,,753.7,765.5,761.3,771,21,
22,,,,,,,,,752.6,762.2,760.9,773,22,
23,,,,,,,,,753.7,765.9,764.8,768.9,23,
24,,,,,,,,,755.7,770.2,765.5,764.2,24,
25,,,,,,,,,760.9,771,758.7,767.3,25,
26,,,,,,,,,759.9,768.4,754.9,763.6,26,
27,,,,,,,,,756,765.7,752.1,760.4,27,
28,,,,,,,,,754.2,763.3,747,765.2,28,
29,,,,,,,,,762,763.8,747.2,766.6,29,
30,,,,,,,,,768,762.7,751.9,769.2,30,
31,,,,,,,,,,756.5,,765.2,31,
,,,,,,,,,,,,,,
1872,January,February,March,April,May,June,July,August,September,October,November,December,,H=53.8m
,,,,,,,,,,,,,,
1,761.6,759.2,751,763.7,765.9,768.5,763.7,765,755.5,760.7,,,1,
2,765.2,762.3,750.3,764.3,768.7,768.5,761.2,765.2,754.3,760.6,,,2,
3,759.7,753.7,749,762.4,769.6,765.7,762,765.8,756.4,765.7,,,3,
4,764.1,755.4,757,760.1,770.4,763.2,763.3,764.1,762.1,769,,,4,
5,763.4,761.3,750.8,760.7,770.5,761.5,762.4,760.1,762.6,769.5,,,5,
6,768.2,751.6,752.5,765.3,768.6,762.4,761.5,759.6,764.7,768.5,,,6,
7,769.6,747.7,758.2,767.8,767.4,764.5,763.4,760.6,764.8,768.7,,,7,
8,767.7,754.8,763.9,766,765.5,761.7,765.1,760.1,762.6,767,,,8,
9,759.4,754.1,762.3,764.2,767.5,765.3,763.9,760.1,761.9,763.6,,,9,
10,758.9,751.1,762.4,763.2,766.2,767.3,761.6,760.2,762.4,760,,,10,
11,756.5,755,763.7,763.8,764.4,763.7,760.4,757.1,759.9,767.4,,,11,
12,756.9,753,768.8,759.8,754.9,756.7,761.5,758.5,760.2,767.9,,,12,
13,760.2,753.3,764.1,761.9,746.9,753.4,762.5,760.8,762,766.2,,,13,
14,768.8,758,762.7,757.2,743.6,754.6,760.7,763.6,763.1,764.6,,,14,
15,772.8,758.8,759.7,754.1,743.3,756.8,759,763.2,762.8,768.3,,,15,
16,770.9,749.7,758.8,754.1,749.6,761.5,759.3,757.3,760.4,769.3,,,16,
17,767.9,750.3,764.6,759.5,759.6,764.2,760.7,761,758.2,764.6,,,17,
18,768.2,755.6,763.4,762.1,762.4,761.6,759.6,759,756.7,762.9,,,18,
19,765.1,758.9,763.8,764.1,765.3,763.1,754.8,757.6,754.4,762.2,,,19,
20,759.2,760.3,759.4,762.4,764.7,764.2,756.1,762.6,755,765.2,,,20,
21,758.2,759.4,757.9,757.7,764.5,765.7,760.1,763.4,756,768.9,,,21,
22,757.7,769.2,761.9,757.6,765.7,762.3,762.1,762.8,759.2,770.8,,,22,
23,751,754.5,760.5,757.2,767.7,760.9,763.3,763.3,761.7,770,,,23,
24,757.4,758.6,752.4,753.4,767.5,762,765.3,762.1,763,763.8,,,24,
25,763.5,756.7,749.2,752.5,768,765.5,765.2,762.8,763,753.7,,,25,
26,763.3,754,741.4,758.3,769.9,765.4,762,763.5,768.3,746.4,,,26,
27,763.4,754.4,731.4,762.3,770.7,763.8,762.1,764.1,765.5,757.2,,,27,
28,755.6,758.1,736.7,759.5,770.8,763.2,765.7,764.7,760.4,764.4,,,28,
