"DWR French Records",,,,,,,,,,,,,
,,,,,,,,,,,,,
BREST,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1871,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,,,,,,,,763.3,,,762.1,1
2,,,,,,,,,763.3,,,769,2
3,,,,,,,,,762.3,,,765.5,3
4,,,,,,,,,757.9,,,766.3,4
5,,,,,,,,,,,,770.4,5
6,,,,,,,,,,,-9999,769.1,6
7,,,,,,,,,,,749.4,767.8,7
8,,,,,,,,,,,752.8,769.2,8
9,,,,,,,,,,,759.1,773.7,9
10,,,,,,,,,,,759.4,769.5,10
11,,,,,,,,,,,752.6,775,11
12,,,,,,,,,,,762.2,774.7,12
13,,,,,,,,,,771.9,767.9,777.6,13
14,,,,,,,,,,768.4,769.5,775.7,14
15,,,,,,,,,,763.6,760.6,773.6,15
16,,,,,,,,761.1,,762.6,764.7,770.9,16
17,,,,,,,,759.8,,761.1,764,775,17
18,,,,,,,,749.7,,759.4,769.3,768.7,18
19,,,,,,,,-9999,,752.1,771.8,761.8,19
20,,,,,,,,762.5,,759.8,769.3,763.5,20
21,,,-9999,,,,,764.3,,,762.7,765.7,21
22,,,-9999,,,,,765.1,,,763.7,751,22
23,,,-9999,,,,,763.8,,,765.8,765.2,23
24,,,-9999,,,,,-9999,,,759.4,766.2,24
25,,,-9999,,,,,761.8,,,754.5,760.1,25
26,,,-9999,,,,,765.5,,,758.5,756.6,26
27,,,-9999,,,,,773.6,,,759.2,757.3,27
28,,,-9999,,,,,772,,,754.6,745.9,28
29,,,-9999,,,,,763.4,,,759,755,29
30,,,,,,,,762.9,,,758.1,761.6,30
31,,,,,,,,764.1,,,,767.4,31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1872,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,763.2,754.3,761.2,750.4,771.3,767.4,761.9,760.5,761.5,,,,1
2,759.8,753.7,765.1,754.4,769.8,762.3,765.3,755.8,757,,,,2
3,762.5,759.5,769.1,752.6,769.5,762.5,768.7,758.4,749.2,,,,3
4,755,755.6,763.4,764.2,759.9,766.2,769.4,760,749.1,,,,4
5,742.5,751.5,760.7,767.9,755,769.2,765.7,753.6,753.6,,,,5
6,750.2,752.6,751.6,773.2,755.6,762.8,759.5,756.6,757.1,,,,6
7,754.8,760.2,744.8,774.6,753.7,758.5,756.6,750.1,761.4,,,,7
8,751.2,758.8,746,772.6,753.2,757.9,761.8,758.4,762.7,,,,8
9,754.6,758.4,759.9,771.7,760.9,751.4,759.4,763.7,760.4,,,,9
10,763.4,758.2,769.4,769.5,764.3,755,759.8,757.9,763.2,,,,10
11,760.4,753.9,769,773.1,768,757.2,757.8,763.5,769.3,,,,11
12,-9999,748,766.9,755.9,760.2,761.9,761,766.3,768.6,,,,12
13,765.7,749.8,764,765.5,759.8,761.8,758.3,768.5,770.6,,,,13
