"DWR French Records",,,,,,,,,,,,,
,,,,,,,,,,,,,
ROCHEFORT,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1871,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,762,,,,,,,,,,760.2,1
2,,-9999,,,,,,,,,,764,2
3,,755,,,,,,,,,,760,3
4,,753,,,,,,,,,,763,4
5,,760,,,,,,,,,,766,5
6,,767,,,,,,,,,,769.2,6
7,,-9999,,,,,,,,,,766.9,7
8,,769,,,,,,,,,,766.8,8
9,,765,,,,,,,,,,770,9
10,,763,,,,,,,,,,770.1,10
11,,759,,,,,,,,,,773,11
12,,762,,,,,,,,,,774,12
13,,761,,,,,,,,,,775,13
14,,767,,,,,,,,,,775,14
15,,768.7,,,,,,,,,,773,15
16,,765.2,,,,,,,,,,773,16
17,,770.3,,,,,,,,,,771,17
18,,773,,,,,,,,,,771.8,18
19,,-9999,,,,,,,,,,767,19
20,,-9999,,,,,,,,,,769,20
21,,765,,,,,,,,,,768.9,21
22,,772,,,,,,,,,,756,22
23,,-9999,,,,,,,,,,760,23
24,,773,,,,,,,,,,767.5,24
25,,768,,,,,,,,,,764,25
26,,763,,,,,,,,,,761,26
27,,767,,,,,,,,,,758,27
28,,-9999,,,,,,,,,,754,28
29,,,,,,,,,,,,754,29
30,,,,,,,,,,,,765,30
31,,,,,,,,,,,,766,31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1872,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,,,,,,,,,,,741.8,1
2,,,,,,,,,,,,743,2
3,,,,,,,,,,,,742,3
4,,,,,,,,,,,,754,4
5,,,,,,,,,,,,764,5
6,,,,,,,,,,,,757,6
7,,,,,,,,,,,,754,7
8,,,,,,,,,,,,761,8
9,,,,,,,,,,,,752.4,9
10,,,,,,,,,,,,745.2,10
11,,,,,,,,,,,,747.2,11
12,,,,,,,,,,,,759.3,12
13,,,,,,,,,,,,766.5,13
14,,,,,,,,,,,,752,14
15,,,,,,,,,,,,757.8,15
16,,,,,,,,,,,,762,16
17,,,,,,,,,,,,759,17
18,,,,,,,,,,,,760,18
19,,,,,,,,,,,,756,19
20,,,,,,,,,,,,754.2,20
21,,,,,,,,,,,,755,21
22,,,,,,,,,,,,761,22
23,,,,,,,,,,,,757.8,23
24,,,,,,,,,,,,749.5,24
25,,,,,,,,,,,,744.5,25
26,,,,,,,,,,,,753.6,26
27,,,,,,,,,,,,762.4,27
28,,,,,,,,,,,,754.1,28
29,,,,,,,,,,,,755.7,29
30,,,,,,,,,,,,761,30
31,,,,,,,,,,,,760,31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1873,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,,,,,,,,,,,777.2,1
2,,,,,,,,,,,,777.4,2
3,,,,,,,,,,,,775.3,3
4,,,,,,,,,,,,774.5,4
5,,,,,,,,,,,,772.2,5
6,,,,,,,,,,,,772.7,6
7,,,,,,,,,,,,772.2,7
8,,,,,,,,,,,,774.4,8
9,,,,,,,,,,,,774.1,9
10,,,,,,,,,,,,774.3,10
11,,,,,,,,,,,,773.1,11
12,,,,,,,,,,,,773,12
