"DAILY WEATHER REPORTS  (1861-1881)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1861,"NO DATA",,,,,,,,,,,,,,,,,,,,,,,,
1862,"NO DATA",,,,,,,,,,,,,,,,,,,,,,,,
1863,"NO DATA",,,,,,,,,,,,,,,,,,,,,,,,
1864,"NO DATA",,,,,,,,,,,,,,,,,,,,,,,,
1865,"NO DATA",,,,,,,,,,,,,,,,,,,,,,,,
1866,"NO DATA",,,,,,,,,,,,,,,,,,,,,,,,
1867,"NO DATA",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1868,January,February,March,April,May,June,July,August,September,October,November,December,1868,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,"No data",,,,,30.01,,30.04,30.2,29.79,30.47,29.99,1,,,,,,10160.878197500002,,10171.0373825,10225.2197025,10086.377507500001,10316.6523675,10154.105407500001
2,,,,,,29.96,29.74,30.01,30.27,29.75,30.44,30.07,2,,,,,,10143.9462225,10069.4455325,10160.878197500002,10248.9244675,10072.831927500001,10306.4931825,10181.196567500001
3,,,,,30.19,29.89,29.8,29.98,30.23,29.83,30.27,30.05,3,,,,,10221.833307500003,10120.2414575,10089.7639025,10150.719012500002,10235.378887500001,10099.9230875,10248.9244675,10174.4237775
4,,,,,30.04,29.95,29.79,,30.19,29.82,30.16,30.14,4,,,,,10171.0373825,10140.559827500001,10086.377507500001,,10221.833307500003,10096.536692500002,10211.6741225,10204.901332500001
5,,,,,29.93,30.04,29.79,29.97,30.19,29.87,30.03,30.24,5,,,,,10133.787037500002,10171.0373825,10086.377507500001,10147.3326175,10221.833307500003,10113.468667500001,10167.650987500001,10238.7652825
6,,,,,29.95,30.19,29.84,29.85,30.18,30.12,29.73,,6,,,,,10140.559827500001,10221.833307500003,10103.3094825,10106.695877500002,10218.446912500001,10198.1285425,10066.0591375,
7,,,,,29.88,30.07,29.94,29.98,30.1,29.99,,30.25,7,,,,,10116.8550625,10181.196567500001,10137.173432500002,10150.719012500002,10191.355752500001,10154.105407500001,,10242.151677500002
8,,,,,29.85,29.92,30,30.06,30.04,29.81,29.22,30.09,8,,,,,10106.695877500002,10130.400642500003,10157.4918025,10177.810172500001,10171.0373825,10093.1502975,9893.3529925,10187.969357500002
9,,,,,29.85,29.83,30.01,30.16,30.08,29.92,29.68,30.13,9,,,,,10106.695877500002,10099.9230875,10160.878197500002,10211.6741225,10184.5829625,10130.400642500003,10049.1271625,10201.5149375
10,,,,,29.87,29.89,30,30.13,30.11,29.95,29.79,30.13,10,,,,,10113.468667500001,10120.2414575,10157.4918025,10201.5149375,10194.742147500001,10140.559827500001,10086.377507500001,10201.5149375
11,,,,,29.97,29.98,,29.93,30.22,30.07,29.82,30.26,11,,,,,10147.3326175,10150.719012500002,,10133.787037500002,10231.992492500001,10181.196567500001,10096.536692500002,10245.538072500001
12,,,,,29.85,29.94,30.08,29.88,29.88,30.15,29.89,30.1,12,,,,,10106.695877500002,10137.173432500002,10184.5829625,10116.8550625,10116.8550625,10208.287727500001,10120.2414575,10191.355752500001
13,,,,,30.02,29.92,29.97,29.79,29.8,30.15,30.16,29.97,13,,,,,10164.264592500002,10130.400642500003,10147.3326175,10086.377507500001,10089.7639025,10208.287727500001,10211.6741225,10147.3326175
14,,,,,30.16,30.02,29.96,29.83,29.81,30.07,30,30.06,14,,,,,10211.6741225,10164.264592500002,10143.9462225,10099.9230875,10093.1502975,10181.196567500001,10157.4918025,10177.810172500001
15,,,,,30.12,30.12,29.91,29.87,29.81,29.9,29.94,30.17,15,,,,,10198.1285425,10198.1285425,10127.014247500001,10113.468667500001,10093.1502975,10123.627852500002,10137.173432500002,10215.060517500002
16,,,,,30.04,30.11,29.96,29.95,29.91,29.97,30.08,30.05,16,,,,,10171.0373825,10194.742147500001,10143.9462225,10140.559827500001,10127.014247500001,10147.3326175,10184.5829625,10174.4237775
