"DAILY WEATHER REPORTS (1861-1892)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,November,December,,J,F,M,A,M,J,J,A,S,O,N,D,,,,,,,,,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29.86,30.04,29.62,29.82,30.47,30.09,30.32,29.91,,29.81,29.75,,1,10118.2096205,10179.1647305,10036.9361405,10104.6640405,10324.779715499999,10196.0967055,10273.983790500002,10135.141595500001,,10101.277645499998,10080.959275500001,,,,,,,,,,,,,,,,,,,,,,,,,
2,,30.18,30.77,29.8,29.78,30.45,,30.27,29.59,29.91,30,29.83,,2,10226.5742605,10426.371565500001,10097.8912505,10091.1184605,10318.006925499998,,10257.051815499999,10026.776955500001,10135.141595500001,10165.6191505,10108.0504355,,,,,,,,,,,,,,,,,,,,,,,,,
3,,30.26,,,29.79,30.43,30.31,,29.93,29.78,30.18,,,3,10253.665420500001,,,10094.5048555,10311.2341355,10270.597395499999,,10141.9143855,10091.1184605,10226.5742605,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,30,29.93,30.3,29.93,30.31,30.26,,,29.91,29.96,29.99,29.95,4,10165.6191505,10141.9143855,10267.211000500001,10141.9143855,10270.597395499999,10253.665420500001,,,10135.141595500001,10152.0735705,10162.2327555,10148.687175500001,,,,,,,,,,,,,,,,,,,,,,,,
5,,29.7,29.19,30.12,29.94,,30.14,,29.81,29.98,30.21,29.53,,5,10064.0273005,9891.321155500002,10206.2558905,10145.3007805,,10213.0286805,,10101.277645499998,10158.8463605,10236.7334455,10006.4585855,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,29.07,29.67,29.89,30.27,30.32,29.34,,29.82,,29.41,,6,,9850.6844155,10053.868115500001,10128.3688055,10257.051815499999,10273.983790500002,9942.1170805,,10104.6640405,,9965.8218455,,,,,,,,,,,,,,,,,,,,,,,,,
7,,39.9,29.41,30.25,,30.11,30.19,,,30.13,29.91,29.44,29.4,7,13518.1502005,9965.8218455,10250.279025500002,,10202.869495500001,10229.960655500001,,,10209.6422855,10135.141595500001,9975.981030500001,9962.4354505,,,,,,,,,,,,,,,,,,,,,,,,
8,,29.99,29.72,30.11,30.3,29.93,30.08,29.86,,,29.71,29.53,,8,10162.2327555,10070.800090499999,10202.869495500001,10267.211000500001,10141.9143855,10192.710310499999,10118.2096205,,,10067.413695500001,10006.4585855,,,,,,,,,,,,,,,,,,,,,,,,,
9,,29.97,29.96,30.36,30.38,29.87,,29.94,29.84,30.04,29.9,29.57,29.56,9,10155.4599655,10152.0735705,10287.529370499999,10294.3021605,10121.596015500001,,10145.3007805,10111.4368305,10179.1647305,10131.7552005,10020.0041655,10016.6177705,,,,,,,,,,,,,,,,,,,,,,,,
10,,30.34,,,30.46,29.85,29.89,30.09,30.04,30.06,29.72,,29.5,10,10280.756580500001,,,10321.393320500001,10114.8232255,10128.3688055,10196.0967055,10179.1647305,10185.9375205,10070.800090499999,,9996.2994005,,,,,,,,,,,,,,,,,,,,,,,,
11,,30.2,30.15,,30.53,29.82,29.76,29.9,,29.84,28.96,29.55,,11,10233.3470505,10216.415075500001,,10345.098085500002,10104.6640405,10084.3456705,10131.7552005,,10111.4368305,9813.4340705,10013.231375500001,,,,,,,,,,,,,,,,,,,,,,,,,
12,,30.2,29.57,29.84,30.58,,,,29.62,30.08,29.51,29.67,,12,10233.3470505,10020.0041655,10111.4368305,10362.0300605,,,,10036.9361405,10192.710310499999,9999.685795500001,10053.868115500001,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,29.69,30.19,30.47,30.15,,,29.98,29.6,,29.66,29.17,13,,10060.6409055,10229.960655500001,10324.779715499999,10216.415075500001,,,10158.8463605,10030.1633505,,10050.4817205,9884.5483655,,,,,,,,,,,,,,,,,,,,,,,,
14,,29.58,29.6,30.23,,30.38,,,29.69,29.96,,29.66,30.08,14,10023.3905605,10030.1633505,10243.506235500001,,10294.3021605,,,10060.6409055,10152.0735705,,10050.4817205,10192.710310499999,,,,,,,,,,,,,,,,,,,,,,,,
